Country_Name,Country_Code,Time,Time_Code,Air_transport_freight_million_ton,Air_Passengers_carried,Air_Carrier_departures_worldwide,customs_procedure_burden_1=inefficient_7=efficient,Container_port_traffic_TEU_units,Liner_shipping_connectivity_index,Pump_price_diesel_fuel_US$_per_liter,Pump_price_gasoline_US$_per_liter,Port_Quality_infrastructure_1=underdeveloped_7=well_developed,Rail_lines_total_route-km,Rail_goods_transport_million_ton-km,Rail_passengers_carried_million_passenger-km
Australia,AUS,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1970,YR1970,234.6999969,7318700,283300,..,..,..,..,..,..,..,..,..
Australia,AUS,1971,YR1971,230.6999969,7326600,288000,..,..,..,..,..,..,..,..,..
Australia,AUS,1972,YR1972,220.1999969,7795600,283800,..,..,..,..,..,..,..,..,..
Australia,AUS,1973,YR1973,266.6000061,9384600,256500,..,..,..,..,..,..,..,..,..
Australia,AUS,1974,YR1974,315.2999878,10664700,18700,..,..,..,..,..,..,..,..,..
Australia,AUS,1975,YR1975,326.5,11055100,18700,..,..,..,..,..,..,..,..,..
Australia,AUS,1976,YR1976,354.2000122,10864300,29300,..,..,..,..,..,..,..,..,..
Australia,AUS,1977,YR1977,376.1000061,11306500,246600,..,..,..,..,..,..,..,..,..
Australia,AUS,1978,YR1978,459.8999939,12122300,259100,..,..,..,..,..,..,..,..,..
Australia,AUS,1979,YR1979,528.2999878,13022500,259000,..,..,..,..,..,..,..,..,..
Australia,AUS,1980,YR1980,516.5,13648800,257700,..,..,..,..,..,..,7592,11465,..
Australia,AUS,1981,YR1981,556.4000244,13219500,230800,..,..,..,..,..,..,7554,11982,..
Australia,AUS,1982,YR1982,576,13187900,222700,..,..,..,..,..,..,7638,13079,..
Australia,AUS,1983,YR1983,624.9000244,12601500,230500,..,..,..,..,..,..,7647,13177,..
Australia,AUS,1984,YR1984,734.0999756,13236800,214200,..,..,..,..,..,..,7450,15369,..
Australia,AUS,1985,YR1985,814.7999878,14412100,238600,..,..,..,..,..,..,7450,18438,..
Australia,AUS,1986,YR1986,859.2999878,15497300,266600,..,..,..,..,..,..,7450,20450,..
Australia,AUS,1987,YR1987,990.7999878,16880200,283300,..,..,..,..,..,..,7315,20871,..
Australia,AUS,1988,YR1988,1027.099976,18816300,294400,..,..,..,..,..,..,7196,20676,..
Australia,AUS,1989,YR1989,1125.300049,15114300,230300,..,..,..,..,..,..,7147,20884,..
Australia,AUS,1990,YR1990,1222.300049,17553400,255900,..,..,..,..,..,..,..,22579,..
Australia,AUS,1991,YR1991,1222.599976,21860100,283600,..,..,..,..,..,..,..,22869,..
Australia,AUS,1992,YR1992,1361.5,23886600,324600,..,..,..,..,..,..,..,24719,..
Australia,AUS,1993,YR1993,1525.800049,26929300,347700,..,..,..,..,..,..,..,24614,..
Australia,AUS,1994,YR1994,1645.5,26888500,405600,..,..,..,..,..,..,..,25175,..
Australia,AUS,1995,YR1995,1737.5,28831400,396100,..,..,..,..,..,..,..,26604,..
Australia,AUS,1996,YR1996,1833.699951,30075100,371200,..,..,..,..,..,..,..,26368,..
Australia,AUS,1997,YR1997,1953.800049,30953500,394500,..,..,..,..,..,..,9458,28408,1093
Australia,AUS,1998,YR1998,1904.400024,30185700,378200,..,..,..,0.45,0.46,..,..,30119,..
Australia,AUS,1999,YR1999,1693,31579700,384800,..,..,..,..,..,..,..,31605,1155
Australia,AUS,2000,YR2000,1730.735,32577569,382514,..,3542802,..,0.57,0.57,..,9499,34050,1265
Australia,AUS,2001,YR2001,1678.089,33477398,388734,..,3774845,..,..,..,..,9508,38525,1497
Australia,AUS,2002,YR2002,1544.717,39021581,536867,..,4355020,..,0.48,0.5,..,9514,40628,1379
Australia,AUS,2003,YR2003,1355.351,41386432,529648,..,4758428,..,..,..,..,9474,41314,1347
Australia,AUS,2004,YR2004,1898.071,41596552,324939,..,5057346,26.58,0.83,0.85,..,..,42300,..
Australia,AUS,2005,YR2005,2444.586,44657324,342509,..,5191013,28.02,..,..,..,9528,46164,1290
Australia,AUS,2006,YR2006,2569.506,46951775,352909,..,5741962,26.96,0.94,0.93,..,9639,46486.44012,1309
Australia,AUS,2007,YR2007,2348.084,48728837,353546,4.88,6290090,26.77,..,..,5.052647726,9639,60126.18339,1309
Australia,AUS,2008,YR2008,2212.439,51488427,393363,4.936325795,6102342.195,38.21,0.94,0.74,4.771889101,9661,61019,1526
Australia,AUS,2009,YR2009,2769.286,50026967,403256,4.93248613,6200325.485,28.8,..,..,4.6486865,9674,62083,1546
Australia,AUS,2010,YR2010,2938.314378,60640913,572906,4.98992613,6668075.249,28.11,1.23,1.27,4.861004837,..,64172,1500
Australia,AUS,2011,YR2011,2846.598798,63360310.34,593145.0025,5.1,7011580.55,28.34,..,..,5.1,..,59649,..
Australia,AUS,2012,YR2012,2731.69798,66355274,622917,5.3,7154888.995,28.81,1.57,1.39,5.1,..,59649,..
Australia,AUS,2013,YR2013,1984.693734,68197955,641451,5.2,7313173.612,29.87,..,..,5,..,59649,..
Australia,AUS,2014,YR2014,1907.43643,67678381,655669,5.2,7524342.566,31.29,1.28,1.23,5,..,59649,..
Australia,AUS,2015,YR2015,1887.29582,69294187,658699,5.165444157,..,32.02,..,..,4.986503444,..,..,..
Australia,AUS,2016,YR2016,..,..,..,5.2,..,30.64,..,..,5,..,..,..
China,CHN,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1970,YR1970,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1974,YR1974,29.20000076,710000,21200,..,..,..,..,..,..,..,..,..
China,CHN,1975,YR1975,46.20000076,1000000,26600,..,..,..,..,..,..,..,..,..
China,CHN,1976,YR1976,49,1050000,27700,..,..,..,..,..,..,..,..,..
China,CHN,1977,YR1977,60,1110000,28800,..,..,..,..,..,..,..,..,..
China,CHN,1978,YR1978,86,1540000,34000,..,..,..,..,..,..,..,..,..
China,CHN,1979,YR1979,123,2519000,63000,..,..,..,..,..,..,..,..,..
China,CHN,1980,YR1980,120.9000015,2568000,51000,..,..,..,..,..,..,49940,570732,138037
China,CHN,1981,YR1981,155.3999939,3236000,57300,..,..,..,..,..,..,50182,570134,146987
China,CHN,1982,YR1982,184.1999969,3942000,69800,..,..,..,..,..,..,50591,610902,157200
China,CHN,1983,YR1983,216,3836000,74000,..,..,..,..,..,..,51604,663445,177339
China,CHN,1984,YR1984,302,5000000,92500,..,..,..,..,..,..,51604,723476,204315
China,CHN,1985,YR1985,403,7300000,102200,..,..,..,..,..,..,52119,811200,241251
China,CHN,1986,YR1986,467.5,10000000,127900,..,..,..,..,..,..,52487,875000,258311
China,CHN,1987,YR1987,647.5,12500000,159700,..,..,..,..,..,..,52611,946000,284300
China,CHN,1988,YR1988,731.7999878,17000000,176900,..,..,..,..,..,..,52767,986020,325731
China,CHN,1989,YR1989,683.0999756,11080000,159200,..,..,..,..,..,..,53187,1037300,303400
China,CHN,1990,YR1990,818.2999878,16596100,196000,..,..,..,..,..,..,53378,1060100,263530
China,CHN,1991,YR1991,1009.5,19520000,190300,..,..,..,..,..,..,53416,1094807,282484
China,CHN,1992,YR1992,1316,27345000,200300,..,..,..,..,..,..,53566,1154851,314829
China,CHN,1993,YR1993,1547,31312500,261600,..,..,..,..,..,..,53802,1192340,347938
China,CHN,1994,YR1994,1717.199951,37601000,325900,..,..,..,..,..,..,53992,1246140,363281
China,CHN,1995,YR1995,1501,47564500,397600,..,..,..,0.24,0.27,..,54616,1287420,354261
China,CHN,1996,YR1996,1688.599976,51770100,493000,..,..,..,..,..,..,56000,1292200,354400
China,CHN,1997,YR1997,2083.600098,52277000,470200,..,..,..,..,..,..,57566,1304600,332200
China,CHN,1998,YR1998,2474.199951,53234000,510500,..,..,..,0.25,0.28,..,57584,1163000,343000
China,CHN,1999,YR1999,3295.399902,55853100,547800,..,..,..,..,..,..,57923,1257789,404627
China,CHN,2000,YR2000,3900.08,61891807,572921,..,41000000,..,0.45,0.4,..,58656,1333606,441468
China,CHN,2001,YR2001,4232.312,72660653,840911,..,44726084,..,..,..,..,59079,1424980,463660
China,CHN,2002,YR2002,5013.505,83671798,932064,..,55717488,..,0.37,0.42,..,59530,1507817,480310
China,CHN,2003,YR2003,5650.63,86040642,946354,..,61898336,..,..,..,..,60446,1647558,456000
China,CHN,2004,YR2004,7024.25,119789024,1209900,..,74725444,100,0.43,0.48,..,61015,1828548,551196
China,CHN,2005,YR2005,7579.401,136721623,1349269,..,67245263,108.29,..,..,..,62200,1934612,583320
China,CHN,2006,YR2006,7692.205,158013351,1542564,..,84810503,113.1,0.61,0.69,..,63412,2055716,635327
China,CHN,2007,YR2007,11189.538,183613132,1753550,4.211956522,103823024,127.85,..,..,3.979942326,63637,2211246,689618
China,CHN,2008,YR2008,11386.055,191001220,1853088,4.456089745,115941970,137.38,1.01,0.99,4.32238684,60809,2511804,772834
China,CHN,2009,YR2009,11976.438,229062099,2140124,4.569181824,108799933.7,132.47,..,..,4.278193043,65491,2523917,787890
China,CHN,2010,YR2010,17193.8774,266293020,2377789,4.534363095,130290443,143.57,1.04,1.11,4.321479666,66239,2451185,791158
China,CHN,2011,YR2011,16764.869,292160158,2538667,4.4,144641878.1,152.06,..,..,4.5,66050,2562635,815699
China,CHN,2012,YR2012,15568.753,318475924,2779741,4.2,161318524,156.19,1.28,1.37,4.4,66298,2518310,795639
China,CHN,2013,YR2013,16053.7331,352795296,3073450,4.2,170858775.2,157.51,..,..,4.5,66298,2518310,795639
China,CHN,2014,YR2014,17822.581,390878784,3356756,4.3,181635244.6,165.05,1.09,1.17,4.6,66989,2308669,807065
China,CHN,2015,YR2015,19805.63,436183969,3616026,4.219262707,..,167.13,..,..,4.548804854,..,..,..
China,CHN,2016,YR2016,..,..,..,4.2,..,167.48,..,..,4.5,..,..,..
Indonesia,IDN,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1970,YR1970,14.19999981,826400,23500,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1971,YR1971,17.60000038,994500,24000,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1972,YR1972,19.89999962,1286800,34200,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1973,YR1973,27.70000076,1787400,42500,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1974,YR1974,41.29999924,2219700,64800,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1975,YR1975,42.90000153,2527500,74100,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1976,YR1976,43.59999847,3103200,91600,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1977,YR1977,52.09999847,3781300,105500,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1978,YR1978,58.90000153,4431100,115300,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1979,YR1979,79.80000305,4656100,120400,..,..,..,..,..,..,..,..,..
Indonesia,IDN,1980,YR1980,121.9000015,5059100,124800,..,..,..,..,..,..,6458,1000,5900
Indonesia,IDN,1981,YR1981,156,6098100,142600,..,..,..,..,..,..,6458,970,5900
Indonesia,IDN,1982,YR1982,177.8999939,6028700,145300,..,..,..,..,..,..,6458,950,6200
Indonesia,IDN,1983,YR1983,189,5567500,143400,..,..,..,..,..,..,6458,800,6300
Indonesia,IDN,1984,YR1984,169.8000031,6494300,183000,..,..,..,..,..,..,6458,900,6100
Indonesia,IDN,1985,YR1985,153.1000061,6468100,185800,..,..,..,..,..,..,6458,1270,6343
Indonesia,IDN,1986,YR1986,222,7115400,181500,..,..,..,..,..,..,6458,1355,7327
Indonesia,IDN,1987,YR1987,340.2000122,7568900,190600,..,..,..,..,..,..,6458,1575,7521
Indonesia,IDN,1988,YR1988,455,8823700,206100,..,..,..,..,..,..,..,1903,7744
Indonesia,IDN,1989,YR1989,438.2000122,8983400,193200,..,..,..,..,..,..,..,2976,8390
Indonesia,IDN,1990,YR1990,458.6000061,9223100,205400,..,..,..,..,..,..,..,3190,9290
Indonesia,IDN,1991,YR1991,475.5,10401800,215700,..,..,..,0.13,0.24,..,4992,3465,9726
Indonesia,IDN,1992,YR1992,504.1000061,11176800,236900,..,..,..,..,..,..,4992,3778.602,10458.023
Indonesia,IDN,1993,YR1993,615.5,12009000,227200,..,..,..,..,..,..,4992,3955.725,12224.251
Indonesia,IDN,1994,YR1994,733.7000122,13924500,230500,..,..,..,..,..,..,5041,3820,13424
Indonesia,IDN,1995,YR1995,782.5999756,15977200,262200,..,..,..,0.2,0.44,..,5041,4170,15520
Indonesia,IDN,1996,YR1996,749.4000244,17138800,311200,..,..,..,..,..,..,5041,4730,15207
Indonesia,IDN,1997,YR1997,710,12650200,194700,..,..,..,..,..,..,5324,4980,15162
Indonesia,IDN,1998,YR1998,429.3999939,12613600,196700,..,..,..,0.07,0.16,..,5324,4960,16196
Indonesia,IDN,1999,YR1999,362,8046800,135000,..,..,..,..,..,..,..,..,..
Indonesia,IDN,2000,YR2000,408.542,9916365,159027,..,3797948,..,0.06,0.17,..,..,..,..
Indonesia,IDN,2001,YR2001,408.372,12453812,164651,..,3901761,..,..,..,..,..,..,..
Indonesia,IDN,2002,YR2002,405.498,12113452,152278,..,4539880,..,0.19,0.27,..,..,..,..
Indonesia,IDN,2003,YR2003,424.362,12221066,155609,..,5176982,..,..,..,..,..,..,..
Indonesia,IDN,2004,YR2004,434.101,26780550,318488,..,5369297,25.88,0.18,0.27,..,..,..,..
Indonesia,IDN,2005,YR2005,439.773,26835524,320724,..,5503176,28.84,..,..,..,..,4698,25535
